ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
26,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\weakref.py:46(__new__)
1603012,2.555,0.000,23.709,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:557(draw)
140572,0.242,0.000,3.512,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:1691(spritecollide)
8,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\inspect.py:2968(__init__)
17675,0.127,0.000,1.296,0.000,f:\Programme\Tower Defense\gameloop.py:233(draw_mainloop_objects)
16,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\linalg\linalg.py:2383(norm)
7,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:667(with_name)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:938(start)
1,0.001,0.001,0.017,0.017,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:55(initsysfonts_win32)
53,0.000,0.000,0.001,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:484(_parse_args)
1170,0.038,0.000,0.999,0.001,f:\Programme\Tower Defense\enemy.py:8(__init__)
32,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py:299(loads)
10768,0.017,0.000,0.036,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\_ufunc_config.py:33(seterr)
362,0.001,0.000,0.002,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\shape_base.py:139(atleast_3d)
97,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\pathlib.py:147(splitroot)
285,0.002,0.000,0.016,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\numeric.py:2249(isclose)
4,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\matplotlib\cbook\__init__.py:46(_get_running_interactive_framework)
76,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\ma\core.py:433(_check_fill_value)
7,0.000,0.000,0.006,0.001,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\lib\nanfunctions.py:68(_replace_nan)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\getlimits.py:307(_get_machar)
1184,0.206,0.000,0.749,0.001,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sysfont.py:368(font_constructor)
14,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:85(empty_like)
300,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:669(result_type)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:969(ravel_multi_index)
1,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\numpy\core\multiarray.py:1030(unravel_index)
454,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:568(is_set)
2,0.000,0.000,0.000,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\threading.py:1590(main_thread)
27810,0.260,0.000,1.341,0.000,C:\Users\tobia\AppData\Local\Programs\Python\Python311\Lib\site-packages\pygame\sprite.py:1732(<listcomp>)
